job,job_category,job_category_manual,count,detailed review,,interesting
communications director,director,director,2,,,
retired engineer,unemployed,unemployed,2,,,
comptroller,comptroller,comptroller,2,*,government ,
retail store owner,retail store owner,retail store owner,2,*,owner,
retired cpa,unemployed,unemployed,2,,,
rehabilitation specialist,specialist,specialist,2,,,
retired convenience store manager,unemployed,unemployed,2,,,
senior managing editor,student,student,2,,,
beer wholesaler,beer wholesaler,beer wholesaler,2,*,salesperson,
public radio reporter,reporter,reporter,2,*,writer ,
graduate student library science,grad student,grad student,2,,,
software q.a. lead,software q.a. lead,software q.a. lead,2,*,tech developer,
trademark attorney,attorney,attorney,2,*,lawyer,
training system manager,manager,manager,2,,,
family assessment writer,writer,writer,2,,,
investment professional,investment professional,investment professional,2,*,finance,
investment banking analyst,analyst,analyst,2,,,
investment banker strategy consultant,consultant,consultant,2,,,
travel agent,travel agent,travel agent,2,*,service industry,
travel media editor,travel media editor,travel media editor,2,*,editor,
junior caltech,student,student,2,,,
internal medicine physician originally,unemployed,unemployed,2,,,
actor grants analyst,analyst,analyst,2,,,
instructional designer curriculum developer,artist/designer,artist/designer,2,,,
tv news producer originally,unemployed,unemployed,2,,,
filmmaker author,author,author,2,*,writer ,
finance manager,manager,manager,2,,,
accounting service representative,accounting service representative,accounting service representative,2,*,assistant,
financial planner,financial planner,financial planner,2,*,finance,
immigration attorney,attorney,attorney,2,*,lawyer,
internal customer service manager,manager,manager,2,,,
i.t. consultant,consultant,consultant,2,,,
adjunct physics instructor stay-at-home mom,unemployed,unemployed,2,,,
epidemiologist,epidemiologist,epidemiologist,2,*,scientist,
airline pilot,airline pilot,airline pilot,2,*,transportation,
elementary school special education teacher,teacher,teacher,2,,,
energy engineer,engineer,engineer,2,,,
assistant professor psychology,professor,professor,2,,,
technical services librarian,librarian,librarian,2,,,
technical support analyst,analyst,analyst,2,,,
technical writer actress,writer,writer,2,,,
aerospace engineer,engineer,engineer,2,,,
equity analyst,analyst,analyst,2,,,
technology consultant,consultant,consultant,2,,,
layout artist,artist/designer,artist/designer,2,,,
law school graduate,grad student,grad student,2,,,
law library director law professor,director,director,2,,,
landscaper,landscaper,landscaper,2,*,laborer,
environmental compliance manager,manager,manager,2,,,
kindergarten teacher,artist/designer,artist/designer,2,,,
k-12 technology teacher,teacher,teacher,2,,,
k-12 gifted talented teacher,teacher,teacher,2,,,
leadership trainer,leadership trainer,leadership trainer,2,*,teacher,
major account manager originally,unemployed,unemployed,2,,,
foreign service officer,foreign service officer,foreign service officer,2,*,government ,
forensic scientist,scientist,scientist,2,,,
high school english french teacher,misc education,misc education,2,,,
high school choir teacher,misc education,misc education,2,,,
6th grade u.s. history language arts teacher,artist/designer,artist/designer,2,,,
high school art teacher,misc education,misc education,2,,,
healthcare data analyst,misc health,misc health,2,,,
health care consultant,misc health,misc health,2,,,
global health consultant,misc health,misc health,2,,,
government contractor,misc government,misc government,2,,,
8th 12th grade math teacher,grad student,grad student,2,,,
growth marketer,growth marketer,growth marketer,2,*,marketing,
writer editor honda campus all-star challenge,writer,writer,2,,,
11th grade english creative writing teacher,grad student,grad student,2,,,
writer-actor,writer,writer,2,,,
graduate student public affairs,grad student,grad student,2,,,
graduate student poetry,grad student,grad student,2,,,
graduate student philosophy,grad student,grad student,2,,,
10th grade chemistry teacher,grad student,grad student,2,,,
yoga instructor,teacher,teacher,2,,,
graduate assistant,grad student,grad student,2,,,
hr manager,manager,manager,2,,,
high school history psychology teacher,misc education,misc education,2,*,teacher ,
freshman north carolina state university,student,student,2,,,
university honors program manager,manager,manager,2,,,
university lecturer,teacher,teacher,2,,,
hospital pediatrician,hospital pediatrician,hospital pediatrician,2,*,doctor,
forklift operator,forklift operator,forklift operator,2,*,laborer,
university literature instructor,teacher,teacher,2,,,
fourth grade teacher,grad student,grad student,2,,,
fragrance specialist,specialist,specialist,2,,,
utility locator,utility locator,utility locator,2,*,miscellaneous,
freshman nyu,student,student,2,,,
history teacher,teacher,teacher,2,,,
freelance writer editor,writer,writer,2,,,
academic assistant,academic assistant,academic assistant,2,*,assistant,
high school special education teacher,misc education,misc education,2,,,
video producer,video producer,video producer,2,*,artist/designer,
high school principal,misc education,misc education,2,,,
9th grade math teacher,grad student,grad student,2,,,
freshman columbia university,student,student,2,,,
virtual assistant,virtual assistant,virtual assistant,2,*,assistant,
freelance project manager,manager,manager,2,,,
teacher educator,teacher,teacher,2,,,
library reference clerk,librarian,librarian,2,,,
teacher composer,teacher,teacher,2,,,
newspaper reporter,reporter,reporter,2,*,editor,
newspaper copy editor,reporter,reporter,2,*,editor,
newspaper columnist,reporter,reporter,2,*,editor,
stay-at-home dad lawyer,unemployed,unemployed,2,,,
navy jag,military officer,military officer,2,,,
naval officer originally,unemployed,unemployed,2,,,
naval flight officer,naval flight officer,naval flight officer,2,*,military officer ,
art history professor,artist/designer,artist/designer,2,,,
strategy consultant,consultant,consultant,2,,,
management production assistant,management production assistant,management production assistant,2,*,assistant,
director semantic technology,director,director,2,,,
montessori teacher,teacher,teacher,2,,,
archivist originally,unemployed,unemployed,2,,,
architectural project manager,manager,manager,2,,,
architectural historian,architect,architect,2,,,
nonprofit communications director,nonprofit,nonprofit,2,*,director,
middle school civics world history teacher,teacher,teacher,2,,,
database developer,database developer,database developer,2,*,tech developer,
data translation coordinator,coordinator,coordinator,2,,,
payroll professional,payroll professional,payroll professional,2,*,service industry,
pastor hospice chaplain,pastor hospice chaplain,pastor hospice chaplain,2,*,religious services,
paraprofessional,paraprofessional,paraprofessional,2,*,lawyer,
painter handyman,painter handyman,painter handyman,2,*,laborer,
cpa,cpa,cpa,2,*,accountant,
creative director,director,director,2,,,
sophomore northeastern university,student,student,2,,,
operations support specialist,specialist,specialist,2,,,
sophomore swarthmore college,artist/designer,artist/designer,2,,,
sophomore university oklahoma,student,student,2,,,
customer service manager,manager,manager,2,,,
office manager student,manager,manager,2,,,
office manager,manager,manager,2,,,
speechwriter,writer,writer,2,,,
nonprofit resource development specialist,nonprofit,nonprofit,2,*,specialist ,
nonprofit executive director,nonprofit,nonprofit,2,*,director,
middle school band director,director,director,2,,,
museum curator,museum curator,museum curator,2,*,museum ,
application scientist,scientist,scientist,2,,,
medical coder,medical coder,medical coder,2,*,misc health,
e-discovery professional,e-discovery professional,e-discovery professional,2,*,miscellaneous,
mechanical engineer musician,musician,musician,2,,,
mathematics professor,professor,professor,2,,,
systems analyst,analyst,analyst,2,,,
middle high school drama teacher,misc education,misc education,2,*,teacher,
economist,economist,economist,2,*,scientist,
math science educator,teacher,teacher,2,,,
systems engineer,engineer,engineer,2,,,
editor academic competitions,editor academic competitions,editor academic competitions,2,*,editor,
marketing writer,writer,writer,2,,,
marketing strategy consultant,consultant,consultant,2,,,
marketing specialist,specialist,specialist,2,,,
marketing manager,manager,manager,2,,,
marketing director,director,director,2,,,
marketing associate,marketing associate,marketing associate,2,*,marketing,
analytics manager,manager,manager,2,,,
medical device engineer,engineer,engineer,2,,,
medical doctoral student,doctor,doctor,2,,,
structural engineer,engineer,engineer,2,,,
architect,architect,architect,2,,,
medical records coder,medical records coder,medical records coder,2,,,
mental health counselor,misc health,misc health,2,,,
merchandise planner,merchandise planner,merchandise planner,2,*,director,
summer camp director,director,director,2,,,
doctoral student,doctor,doctor,2,,,
door person,door person,door person,2,*,miscellaneous,
social media analyst,analyst,analyst,3,,,
associate professor,professor,professor,3,,,
senior mit,student,student,3,,,
senior finance manager,manager,manager,3,,,
assets protection leader,assets protection leader,assets protection leader,3,*,finance,
science policy fellow,science policy fellow,science policy fellow,3,*,policy maker,
bakery owner,bakery owner,bakery owner,3,*,owner,
ap world history teacher,teacher,teacher,3,,,
student writer,student,student,3,,,
tax accountant originally,unemployed,unemployed,3,,,
software salesman,software salesman,software salesman,3,*,salesperson,
tutoring testing director,director,director,3,,,
senior legislative aide originally,unemployed,unemployed,3,,,
small business owner,small business owner,small business owner,3,*,owner,
aspiring tv writer,writer,writer,3,,,
arts administrator,artist/designer,artist/designer,3,,,
artist,artist/designer,artist/designer,3,,,
veterinarian,veterinarian,veterinarian,3,*,doctor,
biologist,biologist,biologist,3,*,scientist,
attorney editor,attorney,attorney,3,,,
video editor,video editor,video editor,3,,,
art education student,artist/designer,artist/designer,3,,,
army officer originally,unemployed,unemployed,3,*,army officer ,
administrative specialist,specialist,specialist,3,,,
architect originally,unemployed,unemployed,3,,,
sports industry consultant,consultant,consultant,3,,,
visual information specialist originally,unemployed,unemployed,3,,,
advocation support specialist,specialist,specialist,3,,,
aspiring student,student,student,3,,,
web developer,web developer,web developer,3,*,tech developer,
robotics ph.d. student mit,grad student,grad student,3,,,
unemployed bartender,artist/designer,artist/designer,3,,,
substitute teacher,teacher,teacher,3,,,
physics professor,professor,professor,3,,,
mechanical engineer,engineer,engineer,3,,,
legislative librarian,librarian,librarian,3,,,
librarian stay-at-home mom,unemployed,unemployed,3,,,
loan coordinator,coordinator,coordinator,3,,,
education administrator,education administrator,education administrator,3,*,admin,
editor writer,writer,writer,3,,,
math professor,professor,professor,3,,,
e.r. social worker,e.r. social worker,e.r. social worker,3,*,government ,
middle school special education teacher,teacher,teacher,3,,,
military attorney originally,unemployed,unemployed,3,,,
director technology,director,director,3,,,
mortgage coordinator originally,unemployed,unemployed,3,,,
museum development assistant,museum development assistant,museum development assistant,3,*,museum ,
direct service provider,direct service provider,direct service provider,3,*,miscellaneous,
nan,nan,nan,3,*,NA,
navy pilot originally,unemployed,unemployed,3,,,
newscaster editor,newscaster editor,newscaster editor,3,*,editor,
operations manager,manager,manager,3,,,
criminal defense attorney,attorney,attorney,3,*,lawyer,
paralegal,paralegal,paralegal,3,*,lawyer,
pediatric dentist,pediatric dentist,pediatric dentist,3,*,dentist,
pediatric emergency medicine physician,pediatric emergency medicine physician,pediatric emergency medicine physician,3,*,doctor,
legal records assistant,legal records assistant,legal records assistant,3,*,assistant,
engineering student originally,unemployed,unemployed,3,,,
lecturer,teacher,teacher,3,,,
language specialist,specialist,specialist,3,*,specialist ,
graduate student mathematics,grad student,grad student,3,,,
grant writer,writer,writer,3,,,
graduate student communications studies,grad student,grad student,3,,,
geriatrician,geriatrician,geriatrician,3,*,doctor ,
healthcare analyst,misc health,misc health,3,*,analyst,
genomics research manager,manager,manager,3,,,
fundraising project manager,manager,manager,3,,,
freshman georgia tech,student,student,3,,,
freelance musician,musician,musician,3,,,
history professor,professor,professor,3,,,
pediatrician,pediatrician,pediatrician,3,*,doctor,
freelance consultant,consultant,consultant,3,,,
former writer high school english teacher,misc education,misc education,3,*,teacher ,
hotel desk reception clerk,hotel desk reception clerk,hotel desk reception clerk,3,*,service industry,
filmmaker,filmmaker,filmmaker,3,*,artist/designer,
fifth grade teacher,grad student,grad student,3,,,
international development researcher,scientist,scientist,3,,,
executive assistant,manager,manager,3,,,
junior stanford university,student,student,3,,,
junior stetson university,student,student,3,,,
junior university southern california,student,student,3,,,
environmental engineer,engineer,engineer,3,,,
freelance associate casting director,director,director,3,,,
contracting officer,contracting officer,contracting officer,3,*,government ,
youth ministry consultant,consultant,consultant,3,,,
college admission officer,college admission officer,college admission officer,3,*,misc education,
consultant,consultant,consultant,3,,,
chemical engineer,engineer,engineer,3,,,
business owner,business owner,business owner,3,*,manager,
consultant originally,unemployed,unemployed,3,,,
policy researcher advisor,advisor,advisor,3,,,
business development associate originally,unemployed,unemployed,3,,,
retired adjunct professor,unemployed,unemployed,3,,,
program director,director,director,3,,,
product manager,manager,manager,3,,,
church musician homemaker,musician,musician,3,,,
college professor,professor,professor,3,,,
retail manager,manager,manager,3,,,
certified public accountant,certified public accountant,certified public accountant,3,*,accountant,
police officer,police officer,police officer,3,*,emergency services,
puzzlemaker,puzzlemaker,puzzlemaker,3,*,miscellaneous,
museum education manager,manager,manager,4,,,
instructional design consultant,consultant,consultant,4,,,
homemaker,homemaker,homemaker,4,*,unemployed,
user experience librarian,librarian,librarian,4,*,,
private investor,private investor,private investor,4,*,finance,
flight attendant,flight attendant,flight attendant,4,*,,
accountant voice artist,artist/designer,artist/designer,4,,,
former attorney,attorney,attorney,4,*,lawyer,
accountant,accountant,accountant,4,*,accountant,
middle school instrumental music teacher,musician,musician,4,*,musician,
museum educator,teacher,teacher,4,*,museum ,
financial analyst,analyst,analyst,4,,,
stay-at-home parent,unemployed,unemployed,4,,,
supply chain analyst,analyst,analyst,4,,,
draftsman college student,student,student,4,,,
library assistant,librarian,librarian,4,*,,
project coordinator,coordinator,coordinator,4,*,admin,
elementary bilingual teacher,teacher,teacher,4,,,
electrical engineer,engineer,engineer,4,,,
public defender,public defender,public defender,4,*,lawyer,
law student,student,student,4,,,
management analyst,analyst,analyst,4,,,
actor,actor,actor,4,,,
managing director art bazaar,artist/designer,artist/designer,4,*,director,
journalism professor,professor,professor,4,,,
mathematician,mathematician,mathematician,4,*,,
internet operations technician,technician,technician,4,,,
actress writer,writer,writer,4,,,
classical singer,classical singer,classical singer,4,*,musician,
medical informaticist,medical informaticist,medical informaticist,4,*,healthcare,
registered nurse,nurse,nurse,4,*,healthcare,
editorial assistant,editorial assistant,editorial assistant,4,*,admin,
second grade teacher,grad student,grad student,4,*,teacher,
engineering manager,manager,manager,4,,,
veterinary clinical pathologist originally,unemployed,unemployed,4,,,
pastor,pastor,pastor,4,,,
6th grade english teacher,grad student,grad student,4,*,teacher,
20-time jeopardy! champion,20-time jeopardy! champion,20-time jeopardy! champion,4,,,
digital consultant,consultant,consultant,4,,,
graphic designer,artist/designer,artist/designer,4,,,
business analyst,analyst,analyst,4,,,
11th grade u.s. history teacher,grad student,grad student,4,*,teacher,
11th grade physics teacher,grad student,grad student,4,*,teacher,
bus driver trainer,bus driver trainer,bus driver trainer,4,*,teacher,
ph.d. student computer science originally,unemployed,unemployed,4,,,
social media editor,social media editor,social media editor,4,*,artist/designer,
11-year-old,unemployed,unemployed,4,,,
ph.d. student linguistics,grad student,grad student,4,,,
graduate student psychology,grad student,grad student,4,,,
physical therapist,physical therapist,physical therapist,4,,,
cancer registrar originally,unemployed,unemployed,4,,,
g.i.s. technician,technician,technician,4,,,
wrap facilitator,wrap facilitator,wrap facilitator,4,*,admin,
high school french english teacher,misc education,misc education,4,*,teacher,
higher education administrator,higher education administrator,higher education administrator,4,*,admin,
stay-at-home dad,unemployed,unemployed,4,,,
high school world history teacher,misc education,misc education,4,*,teacher,
dentist,dentist,dentist,4,,,
cell biologist,cell biologist,cell biologist,4,*,scientist,
volunteer casa guardian ad litem,volunteer,volunteer,4,,,
high school teacher,misc education,misc education,4,*,teacher,
sophomore university california,student,student,4,,,
sophomore university central florida,student,student,4,,,
freshman tufts university,student,student,4,,,
freshman united states naval academy,student,student,4,,,
9th 10th grade math teacher,grad student,grad student,4,*,teacher,
investment analyst,analyst,analyst,5,,,
retired police officer,unemployed,unemployed,5,*,emergency services,
communications manager,manager,manager,5,,,
psychologist,psychologist,psychologist,5,,,
graduate student originally,unemployed,unemployed,5,*,grad student,
urban planner,urban planner,urban planner,5,*,,
graduate student history,grad student,grad student,5,,,
law professor,professor,professor,5,,,
university professor,professor,professor,5,,,
housewife,housewife,housewife,5,*,unemployed,
third grade teacher,grad student,grad student,5,*,teacher,
high school spanish teacher,misc education,misc education,5,*,teacher,
writer comedian,writer,writer,5,,,
esl teacher,teacher,teacher,5,,,
research editor,scientist,scientist,5,,,
12-year-old,unemployed,unemployed,5,,,
law clerk,law clerk,law clerk,5,*,lawyer,
technical writer,writer,writer,5,,,
bookseller,bookseller,bookseller,5,*,salesperson,
composer,composer,composer,5,*,musician,
compliance analyst,analyst,analyst,5,,,
author,author,author,5,,,
musician,musician,musician,5,,,
nanny,nanny,nanny,5,*,home services,
marketing coordinator,coordinator,coordinator,5,*,marketing,
attorney writer,writer,writer,5,*,lawyer,
data conversion manager,manager,manager,5,,,
middle school math teacher,teacher,teacher,5,,,
office assistant,office assistant,office assistant,5,*,admin assistant,
management consultant originally,unemployed,unemployed,5,*,consultant,
data analyst,analyst,analyst,5,,,
organization development consultant,consultant,consultant,5,,,
ph.d. student economics originally,unemployed,unemployed,5,*,phd,
technical engineer,engineer,engineer,5,,,
ph.d. candidate history originally,unemployed,unemployed,5,*,phd,
pediatric nurse practitioner student,student,student,5,,,
attorney government relations professional,misc government,misc government,5,*,lawyer,
stay-at-home dad graduate student,unemployed,unemployed,6,*,grad student,
freelance writer,writer,writer,6,,,
opera producer,opera producer,opera producer,6,*,artist/designer,
freshman brown university,student,student,6,,,
patent attorney,attorney,attorney,6,*,lawyer,
high school latin teacher,misc education,misc education,6,*,teacher,
hotel front desk clerk recent college graduate,grad student,grad student,6,,,
hotel front desk manager,manager,manager,6,,,
pharmacist,pharmacist,pharmacist,6,*,healthcare,
fire lookout,fire lookout,fire lookout,6,*,emergency services,
software development manager,manager,manager,6,,,
tutor,tutor,tutor,6,*,teacher,
physician healthcare analyst,misc health,misc health,6,*,healthcare,
eighth grader,grad student,grad student,6,,,
law student originally,unemployed,unemployed,6,*,student,
analyst,analyst,analyst,6,,,
construction attorney,attorney,attorney,7,*,lawyer,
english teacher,teacher,teacher,7,,,
english professor,professor,professor,7,,,
naval officer,military officer,military officer,7,,,
research scientist,scientist,scientist,7,,,
actuary,actuary,actuary,7,*,mathematician ,
volunteer guardian ad litem,volunteer,volunteer,7,,,
ph.d. student,grad student,grad student,7,,,
escalation manager,manager,manager,7,*,,
translation coordinator,coordinator,coordinator,7,*,admin ,
archivist,archivist,archivist,7,*,research / museum,
professor english,professor,professor,7,,,
middle school english teacher,teacher,teacher,7,,,
operations analyst,analyst,analyst,7,,,
science content developer,science content developer,science content developer,7,*,teacher,
high school science teacher,misc education,misc education,7,*,teacher,
compliance analyst voiceover artist,artist/designer,artist/designer,8,,,
copywriter,writer,writer,8,,,
banker,banker,banker,8,*,finance/service,
university administrator,university administrator,university administrator,8,*,admin ,
management consultant,consultant,consultant,8,,,
ph.d. student originally,unemployed,unemployed,8,*,grad student,
retired teacher,unemployed,unemployed,8,*,teacher,
customer service representative,customer service representative,customer service representative,9,*,service industry,
freshman,student,student,9,,,
chef,chef,chef,9,,,
network engineer,engineer,engineer,9,*,tech developer,
medical student,student,student,9,,,
physician,physician,physician,9,*,medical doctor,
math teacher,teacher,teacher,9,,,
project manager,manager,manager,10,,,
computer programmer,computer programmer,computer programmer,10,*,tech developer,
educator,teacher,teacher,10,,,
music teacher,musician,musician,10,*,teacher,
software developer,software developer,software developer,11,*,tech developer,
social worker,social worker,social worker,11,,,
attorney originally,unemployed,unemployed,12,*,lawyer,
currency trader,currency trader,currency trader,12,*,finance,
data scientist,scientist,scientist,12,,,
engineer,engineer,engineer,12,,,
writer originally,unemployed,unemployed,12,*,writer,
lawyer,lawyer,lawyer,13,,,
assistant professor,professor,professor,13,,,
music executive,musician,musician,13,,,
administrative assistant,administrative assistant,administrative assistant,14,*,admin ,
high school english teacher,misc education,misc education,14,*,teacher,
microbiologist,microbiologist,microbiologist,16,*,scientist,
journalist,journalist,journalist,16,*,writer,
writer editor,writer,writer,16,,,
sophomore,student,student,17,,,
editor,editor,editor,18,*,writer,
ph.d. candidate,grad student,grad student,18,,,
professor,professor,professor,19,,,
supply chain professional,supply chain professional,supply chain professional,21,,,
teacher,teacher,teacher,22,,,
high school history teacher,misc education,misc education,23,*,teacher,
bartender,artist/designer,artist/designer,26,*,serivce industry,
graduate student,grad student,grad student,28,,,
junior,student,student,29,,,
student,student,student,30,,,
software engineer,engineer,engineer,30,*,tech developer,
professional sports gambler,professional sports gambler,professional sports gambler,31,,,
stay-at-home mom,unemployed,unemployed,32,*,,
librarian,librarian,librarian,33,,,
senior,student,student,34,,,
writer,writer,writer,42,,,
attorney,attorney,attorney,123,,,
